student_id,attendance_pct,assignment_marks,internal_score,participation,prev_grade,study_hours,risk_label,api
STU001,64.98,51.46,66.12,4.63,63.47,3.11,1,64.983
STU002,89.17,78.5,88.93,9.24,80.44,3.18,0,86.45500000000001
STU003,84.3,80.47,91.69,8.6,96.75,3.54,0,90.991
STU004,68.05,54.42,60.65,5.13,54.36,2.06,1,60.983
STU005,85.76,64.79,77.13,9.67,79.15,5.97,0,80.325
STU006,93.26,63.48,93.89,8.61,84.45,5.93,0,90.869
STU008,86.48,69.49,99.61,7.31,87.78,3.76,0,92.122
STU009,37.13,26.84,37.46,3.69,35.2,0.7,2,36.68300000000001
STU010,69.44,48.92,58.21,5.19,67.68,4.91,1,64.42
STU011,55.1,36.84,27.48,3.79,50.06,1.89,2,42.540000000000006
STU012,91.0,67.48,79.12,7.97,92.85,5.13,0,86.803
STU013,44.72,34.65,34.59,2.74,38.66,0.89,2,38.85
STU014,68.66,56.78,60.65,4.4,50.93,2.19,1,60.137
STU015,99.79,70.19,80.35,9.04,94.11,6.8,0,90.31
STU016,70.72,57.21,59.43,6.79,57.41,4.49,1,62.211
STU017,99.27,97.53,74.6,7.54,91.66,3.33,0,87.119
STU018,94.56,65.59,87.66,9.39,95.1,4.01,0,91.962
STU019,82.44,86.61,75.76,8.57,94.25,4.79,0,83.311
STU020,75.79,60.37,57.85,5.13,64.7,3.39,1,65.287
STU021,85.33,69.29,92.68,9.7,84.58,4.92,0,88.045
STU022,90.41,64.68,97.29,9.82,88.35,6.14,0,92.544
STU023,86.03,84.8,75.04,8.6,93.61,7.47,0,83.908
STU024,95.56,69.94,75.4,9.23,78.66,3.17,0,82.426
STU025,90.97,73.68,93.11,9.46,96.18,3.55,0,93.389
STU026,75.24,72.91,52.55,4.45,57.15,2.69,1,60.736999999999995
STU027,94.17,87.76,91.88,8.63,88.88,4.26,0,91.667
STU028,66.22,65.42,53.63,5.2,66.35,3.39,1,61.223
STU029,98.89,80.24,75.45,8.83,87.17,3.09,0,85.998
STU030,55.29,57.87,36.39,3.12,57.67,0.88,2,48.444
STU031,46.71,59.46,32.3,3.78,58.03,1.63,2,44.342
STU032,81.38,64.99,99.56,9.76,95.01,7.35,0,92.741
